Training: Ironclad | 500000 steps | 4 envs | device=mps

  [  1.0%] 5044/500000 | 8 steps/s | ETA 16h34m | iter 62%
  [  1.0%] 5064/500000 | 8 steps/s | ETA 16h34m | iter 62%
  [  1.0%] 5084/500000 | 8 steps/s | ETA 16h34m | iter 62%
  [  1.0%] 5104/500000 | 8 steps/s | ETA 16h34m | iter 62%
  [  1.0%] 5116/500000 | 8 steps/s | ETA 16h35m | iter 62%
  [  1.0%] 5132/500000 | 8 steps/s | ETA 16h35m | iter 63%
  [  1.0%] 5152/500000 | 8 steps/s | ETA 16h35m | iter 63%
  [  1.0%] 5172/500000 | 8 steps/s | ETA 16h35m | iter 63%
  [  1.0%] 5188/500000 | 8 steps/s | ETA 16h36m | iter 63%
  [  1.0%] 5204/500000 | 8 steps/s | ETA 16h36m | iter 64%
  [  1.0%] 5224/500000 | 8 steps/s | ETA 16h36m | iter 64%
  [  1.0%] 5244/500000 | 8 steps/s | ETA 16h36m | iter 64%
  [  1.1%] 5264/500000 | 8 steps/s | ETA 16h36m | iter 64%
  [  1.1%] 5280/500000 | 8 steps/s | ETA 16h36m | iter 64%
  [  1.1%] 5300/500000 | 8 steps/s | ETA 16h36m | iter 65%
  [  1.1%] 5320/500000 | 8 steps/s | ETA 16h35m | iter 65%
  [  1.1%] 5340/500000 | 8 steps/s | ETA 16h35m | iter 65%
  [  1.1%] 5356/500000 | 8 steps/s | ETA 16h35m | iter 65%
  [  1.1%] 5372/500000 | 8 steps/s | ETA 16h36m | iter 66%
  [  1.1%] 5388/500000 | 8 steps/s | ETA 16h36m | iter 66%
  [  1.1%] 5408/500000 | 8 steps/s | ETA 16h36m | iter 66%
  [  1.1%] 5428/500000 | 8 steps/s | ETA 16h36m | iter 66%
  [  1.1%] 5444/500000 | 8 steps/s | ETA 16h36m | iter 66%
  [  1.1%] 5460/500000 | 8 steps/s | ETA 16h36m | iter 67%
  [  1.1%] 5476/500000 | 8 steps/s | ETA 16h36m | iter 67%
  [  1.1%] 5496/500000 | 8 steps/s | ETA 16h36m | iter 67%
  [  1.1%] 5516/500000 | 8 steps/s | ETA 16h35m | iter 67%
  [  1.1%] 5532/500000 | 8 steps/s | ETA 16h36m | iter 68%
  [  1.1%] 5548/500000 | 8 steps/s | ETA 16h36m | iter 68%
  [  1.1%] 5564/500000 | 8 steps/s | ETA 16h36m | iter 68%
  [  1.1%] 5576/500000 | 8 steps/s | ETA 16h37m | iter 68%
  [  1.1%] 5588/500000 | 8 steps/s | ETA 16h38m | iter 68%
  [  1.1%] 5604/500000 | 8 steps/s | ETA 16h38m | iter 68%
  [  1.1%] 5624/500000 | 8 steps/s | ETA 16h38m | iter 69%
  [  1.1%] 5644/500000 | 8 steps/s | ETA 16h38m | iter 69%
  [  1.1%] 5664/500000 | 8 steps/s | ETA 16h38m | iter 69%
  [  1.1%] 5680/500000 | 8 steps/s | ETA 16h38m | iter 69%
  [  1.1%] 5700/500000 | 8 steps/s | ETA 16h38m | iter 70%
  [  1.1%] 5716/500000 | 8 steps/s | ETA 16h39m | iter 70%
  [  1.1%] 5736/500000 | 8 steps/s | ETA 16h39m | iter 70%
  [  1.2%] 5752/500000 | 8 steps/s | ETA 16h39m | iter 70%
  [  1.2%] 5768/500000 | 8 steps/s | ETA 16h39m | iter 70%
  [  1.2%] 5784/500000 | 8 steps/s | ETA 16h39m | iter 71%
  [  1.2%] 5804/500000 | 8 steps/s | ETA 16h39m | iter 71%
  [  1.2%] 5824/500000 | 8 steps/s | ETA 16h39m | iter 71%
  [  1.2%] 5840/500000 | 8 steps/s | ETA 16h39m | iter 71%
  [  1.2%] 5856/500000 | 8 steps/s | ETA 16h39m | iter 71%
  [  1.2%] 5876/500000 | 8 steps/s | ETA 16h39m | iter 72%
  [  1.2%] 5896/500000 | 8 steps/s | ETA 16h39m | iter 72%
  [  1.2%] 5916/500000 | 8 steps/s | ETA 16h39m | iter 72%
  [  1.2%] 5936/500000 | 8 steps/s | ETA 16h39m | iter 72%
  [  1.2%] 5956/500000 | 8 steps/s | ETA 16h39m | iter 73%
  [  1.2%] 5976/500000 | 8 steps/s | ETA 16h39m | iter 73%
  [  1.2%] 5996/500000 | 8 steps/s | ETA 16h39m | iter 73%
  [  1.2%] 6016/500000 | 8 steps/s | ETA 16h39m | iter 73%
  [  1.2%] 6036/500000 | 8 steps/s | ETA 16h39m | iter 74%
  [  1.2%] 6044/500000 | 8 steps/s | ETA 16h40m | iter 74%
  [  1.2%] 6060/500000 | 8 steps/s | ETA 16h41m | iter 74%
  [  1.2%] 6076/500000 | 8 steps/s | ETA 16h41m | iter 74%
  [  1.2%] 6092/500000 | 8 steps/s | ETA 16h42m | iter 74%
  [  1.2%] 6112/500000 | 8 steps/s | ETA 16h42m | iter 75%
  [  1.2%] 6132/500000 | 8 steps/s | ETA 16h41m | iter 75%
  [  1.2%] 6152/500000 | 8 steps/s | ETA 16h41m | iter 75%
  [  1.2%] 6172/500000 | 8 steps/s | ETA 16h41m | iter 75%
  [  1.2%] 6192/500000 | 8 steps/s | ETA 16h41m | iter 76%
  [  1.2%] 6212/500000 | 8 steps/s | ETA 16h41m | iter 76%
  [  1.2%] 6232/500000 | 8 steps/s | ETA 16h40m | iter 76%
  [  1.3%] 6252/500000 | 8 steps/s | ETA 16h40m | iter 76%
  [  1.3%] 6272/500000 | 8 steps/s | ETA 16h40m | iter 77%
  [  1.3%] 6292/500000 | 8 steps/s | ETA 16h40m | iter 77%
  [  1.3%] 6308/500000 | 8 steps/s | ETA 16h40m | iter 77%
  [  1.3%] 6324/500000 | 8 steps/s | ETA 16h40m | iter 77%
  [  1.3%] 6340/500000 | 8 steps/s | ETA 16h40m | iter 77%
  [  1.3%] 6360/500000 | 8 steps/s | ETA 16h40m | iter 78%
  [  1.3%] 6376/500000 | 8 steps/s | ETA 16h41m | iter 78%
  [  1.3%] 6392/500000 | 8 steps/s | ETA 16h42m | iter 78%
  [  1.3%] 6404/500000 | 8 steps/s | ETA 16h43m | iter 78%
  [  1.3%] 6420/500000 | 8 steps/s | ETA 16h43m | iter 78%
  [  1.3%] 6436/500000 | 8 steps/s | ETA 16h44m | iter 79%
  [  1.3%] 6440/500000 | 8 steps/s | ETA 16h50m | iter 79%
  [  1.3%] 6456/500000 | 8 steps/s | ETA 16h50m | iter 79%
  [  1.3%] 6472/500000 | 8 steps/s | ETA 16h51m | iter 79%
  [  1.3%] 6484/500000 | 8 steps/s | ETA 16h52m | iter 79%
  [  1.3%] 6500/500000 | 8 steps/s | ETA 16h52m | iter 79%
  [  1.3%] 6520/500000 | 8 steps/s | ETA 16h52m | iter 80%
  [  1.3%] 6540/500000 | 8 steps/s | ETA 16h52m | iter 80%
  [  1.3%] 6556/500000 | 8 steps/s | ETA 16h52m | iter 80%
  [  1.3%] 6572/500000 | 8 steps/s | ETA 16h52m | iter 80%
